cluster_id,size,top_words,top_queue,top_tag,rep_tickets,avg_priority,volume,actionability_score
0,666,"security, breach, access, medical, unauthorized, incident, data, outdated, hospital, datum",Technical Support,Security,"[['Experienced Security Breach in Medical Data Systems', 'Technical Support', 'Security'], ['Concern Regarding Security Breach in Medical Data System', 'Technical Support', 'Security'], ['Data Breach Event', 'Technical Support', 'Security']]",1.0,573,573.0
4,448,"medical, security, datum, secure, information, hospital, sensitive, ensure, encryption, protect",Technical Support,Security,"[['Enhancing Security of Medical Data in Hospital Settings', 'Customer Service', 'Security'], ['Ensuring Security of Medical Data', 'Product Support', 'Security'], ['Ensuring the Security of Medical Data', 'Product Support', 'Security']]",1.0,398,398.0
7,431,"problem, issue, restart, resolve, connectivity, update, device, connection, network, support",Technical Support,Technical,"[['Request for Technical Support', 'IT Support', 'Technical'], ['Intermittent Connectivity Problems Detected Across Various Tools', 'General Inquiry', 'Network'], ['Assistance Required for Digital Tools Connectivity Problems', 'IT Support', 'Network']]",1.0,391,391.0
14,455,"investment, data, issue, analytic, problem, optimization, software, financial, resolve, datum",Technical Support,Bug,"[[nan, 'Technical Support', 'Bug'], [nan, 'Technical Support', 'Bug'], ['Trouble with Recent Investment Reports Showing Data Discrepancies', 'Product Support', 'Bug']]",1.0,391,391.0
2,386,"investment, analytic, data, tool, decision, optimize, analytics, optimization, portfolio, enhance",Customer Service,Feature,"[['Inquiry about Data Analytics Solutions for Investment Optimization', 'Product Support', 'Feedback'], ['Support for Data Analytics Tools in Optimizing Investments', 'Product Support', 'Product'], ['Inquiry Regarding Data Analytics Services for Optimizing Investment Strategies', 'Billing and Payments', 'Feedback']]",1.0,338,338.0
13,358,"integration, project, integrate, support, management, request, provide, enhance, customer, appreciate",Technical Support,Feature,"[['Exploring Integration Options for Project Management Tools', 'Returns and Exchanges', 'Integration'], ['Inquiry About Project Management Features and Integration Options', 'Product Support', 'Feature'], ['Request for updating software tools for enhanced integration', 'IT Support', 'Technical']]",1.0,333,333.0
3,375,"brand, digital, strategy, growth, marketing, enhance, boost, online, customer, strategies",Customer Service,Feedback,"[['Expanding the Brand Through Digital Strategies', 'Technical Support', 'Feedback'], ['Exploring Digital Strategies for Brand Growth and Online Development', 'Returns and Exchanges', 'Feedback'], ['Support Inquiry for Digital Strategies and Brand Growth', 'Technical Support', 'Feedback']]",1.0,319,319.0
5,321,"engagement, campaign, marketing, digital, target, strategy, adjust, brand, improvement, decline",Product Support,Feedback,"[['Assistance with Marketing Agency Campaign Performance Issues', 'Sales and Pre-Sales', 'Performance'], ['Decrease in Engagement for Digital Marketing Campaign', 'Technical Support', 'Performance'], ['Concerns About Decreased Engagement in Digital Marketing Campaigns', 'Returns and Exchanges', 'Feedback']]",1.0,285,285.0
10,315,"saas, management, project, integration, integrate, platform, documentation, provide, information, detailed",Technical Support,Feature,"[['Capabilities of API Integration in Project Management', 'Product Support', 'Feature'], ['Overview of Project Management', 'Technical Support', 'Feature'], ['Overview of Project Management', 'Technical Support', 'Feature']]",1.0,273,273.0
11,307,"crash, software, issue, update, problem, resolve, restart, application, impact, outage",Technical Support,Bug,"[['An Unexpected System Crash During Data Analysis', 'Technical Support', 'Crash'], ['Assistance with Unexpected Software Crashes', 'Technical Support', 'Bug'], ['System Crash Support Inquiry', 'IT Support', 'Crash']]",1.0,272,272.0
9,252,"server, project, issue, delay, problem, dashboard, performance, peak, load, cache",Technical Support,Performance,"[['Performance Delay', 'Product Support', 'Performance'], ['Performance Delay', 'Product Support', 'Performance'], [nan, 'Customer Service', 'Bug']]",1.0,209,209.0
12,222,"campaign, digital, marketing, problem, issue, agency, software, update, restart, resolve",Technical Support,Bug,"[[nan, 'Product Support', 'Performance'], ['Problems with Software Campaigns', 'Technical Support', 'Bug'], ['Complete Failure of Digital Campaign', 'Technical Support', 'Bug']]",1.0,195,195.0
1,200,"saas, platform, issue, problem, server, project, resolve, management, update, recent",Technical Support,Bug,"[[nan, 'Product Support', 'Bug'], ['Concern About Performance Issues in SaaS Platform', 'Returns and Exchanges', 'Performance'], ['Concern About Performance Issues in SaaS Platform', 'Returns and Exchanges', 'Performance']]",1.0,170,170.0
8,169,"billing, payment, invoice, charge, discrepancy, error, account, subscription, issue, review",Billing and Payments,Billing,"[['Notice of Billing Discrepancies Across Various Services', 'Billing and Payments', 'Billing'], ['Assistance Needed for Billing Discrepancy Problem', 'Billing and Payments', 'Billing'], ['Request for Urgent Review of Billing Discrepancies', 'Billing and Payments', 'Billing']]",1.0,145,145.0
6,95,"payment, billing, plan, pricing, available, discount, option, saas, management, project",Billing and Payments,Billing,"[['Inquiry on SaaS Project Management Billing', 'Billing and Payments', 'Billing'], ['Inquiry About Payment Plan Billing Options', 'Billing and Payments', 'Billing'], ['Query on SaaS Project Management Billing', 'Billing and Payments', 'Billing']]",1.0,90,90.0
